instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,days_since_start,avg_bike_rental_per_day,season_label,rolling_avg,casual_avg,registered_avg
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331.0,654,985,0,4504.35,Winter,,,
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131.0,670,801,1,4504.35,Winter,,,
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120.0,1229,1349,2,4504.35,Winter,,,
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108.0,1454,1562,3,4504.35,Winter,,,
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82.0,1518,1600,4,4504.35,Winter,,,
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88.0,1518,1606,5,4504.35,Winter,,,
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148.0,1362,1510,6,4504.35,Winter,,,
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68.0,891,959,7,4504.35,Winter,,,
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54.0,768,822,8,4504.35,Winter,,,
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41.0,1280,1321,9,4504.35,Winter,,,
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43.0,1220,1263,10,4504.35,Winter,,,
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25.0,1137,1162,11,4504.35,Winter,,,
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38.0,1368,1406,12,4504.35,Winter,,,
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54.0,1367,1421,13,4504.35,Winter,,,
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222.0,1026,1248,14,4504.35,Winter,,,
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251.0,953,1204,15,4504.35,Winter,1222.9333333333334,101.03333333333333,1121.9
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117.0,883,1000,16,4504.35,Winter,1240.1333333333334,91.4,1148.7333333333333
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9.0,674,683,17,4504.35,Winter,1258.7666666666667,88.6,1170.1666666666667
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78.0,1572,1650,18,4504.35,Winter,1264.6666666666667,87.0,1177.6666666666667
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83.0,1844,1927,19,4504.35,Winter,1264.2666666666667,85.43333333333334,1178.8333333333333
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75.0,1468,1543,20,4504.35,Winter,1267.8666666666666,85.63333333333334,1182.2333333333333
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93.0,888,981,21,4504.35,Winter,1247.8333333333333,86.03333333333333,1161.8
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150.0,836,986,22,4504.35,Winter,1251.6,92.9,1158.7
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86.0,1330,1416,23,4504.35,Winter,1276.7,94.63333333333334,1182.0666666666666
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186.0,1799,1985,24,4504.35,Winter,1300.3,94.96666666666667,1205.3333333333333
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34.0,472,506,25,4504.35,Winter,1309.7666666666667,95.36666666666666,1214.4
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15.0,416,431,26,4504.35,Winter,1318.9333333333334,95.5,1223.4333333333334
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38.0,1129,1167,27,4504.35,Winter,1338.4,99.63333333333334,1238.7666666666667
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123.0,975,1098,28,4504.35,Winter,1340.6,107.96666666666667,1232.6333333333334
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140.0,956,1096,29,4504.35,Winter,1346.2,119.4,1226.8
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42.0,1459,1501,30,4504.35,Winter,1368.3666666666666,118.93333333333334,1249.4333333333334
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47.0,1313,1360,31,4504.35,Winter,1388.7333333333333,115.23333333333333,1273.5
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72.0,1454,1526,32,4504.35,Winter,1425.9,118.6,1307.3
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61.0,1489,1550,33,4504.35,Winter,1485.6333333333334,126.93333333333334,1358.7
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88.0,1620,1708,34,4504.35,Winter,1528.2,143.63333333333333,1384.5666666666666
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100.0,905,1005,35,4504.35,Winter,1518.4666666666667,158.6,1359.8666666666666
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354.0,1269,1623,36,4504.35,Winter,1527.4333333333334,177.4,1350.0333333333333
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120.0,1592,1712,37,4504.35,Winter,1531.6333333333334,180.8,1350.8333333333333
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64.0,1466,1530,38,4504.35,Winter,1547.1,178.26666666666668,1368.8333333333333
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53.0,1552,1605,39,4504.35,Winter,1563.8,180.03333333333333,1383.7666666666667
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47.0,1491,1538,40,4504.35,Winter,1557.8666666666666,177.16666666666666,1380.7
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149.0,1597,1746,41,4504.35,Winter,1589.7,180.03333333333333,1409.6666666666667
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288.0,1184,1472,42,4504.35,Winter,1640.9666666666667,193.66666666666666,1447.3
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397.0,1192,1589,43,4504.35,Winter,1682.1333333333334,215.53333333333333,1466.6
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208.0,1705,1913,44,4504.35,Winter,1693.7333333333333,214.13333333333333,1479.6
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140.0,1675,1815,45,4504.35,Winter,1718.9,214.03333333333333,1504.8666666666666
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218.0,1897,2115,46,4504.35,Winter,1740.0,220.33333333333334,1519.6666666666667
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259.0,2216,2475,47,4504.35,Winter,1750.8333333333333,222.86666666666667,1527.9666666666667
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579.0,2348,2927,48,4504.35,Winter,1764.7666666666667,227.6,1537.1666666666667
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532.0,1103,1635,49,4504.35,Winter,1782.3333333333333,246.9,1535.4333333333334
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639.0,1173,1812,50,4504.35,Winter,1745.5666666666666,247.76666666666668,1497.8
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195.0,912,1107,51,4504.35,Winter,1774.4666666666667,252.56666666666666,1521.9
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74.0,1376,1450,52,4504.35,Winter,1791.4666666666667,251.3,1540.1666666666667
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139.0,1778,1917,53,4504.35,Winter,1797.4333333333334,253.66666666666666,1543.7666666666667
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100.0,1707,1807,54,4504.35,Winter,1767.2,253.06666666666666,1514.1333333333334
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120.0,1341,1461,55,4504.35,Winter,1779.6,259.53333333333336,1520.0666666666666
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424.0,1545,1969,56,4504.35,Winter,1799.4,282.1,1517.3
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694.0,1708,2402,57,4504.35,Winter,1821.7666666666667,309.8666666666667,1511.9
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81.0,1365,1446,58,4504.35,Winter,1840.9,312.23333333333335,1528.6666666666667
