instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,Weekend
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,Weekend
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,Weekend
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,Weekend
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,Weekend
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,Weekend
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,Weekend
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,Weekend
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,Weekend
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,Weekend
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,Weekend
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,Weekend
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,Weekend
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,Weekend
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,Weekend
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0,Weekend
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,Weekend
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,Weekend
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,Weekend
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,Weekend
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,Weekend
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,Weekend
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,Weekend
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,Weekend
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,Weekday
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,Weekday
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,Weekday
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,Weekday
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,Weekday
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,Weekday
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,Weekday
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,Weekday
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,Weekday
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,Weekday
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,Weekday
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,Weekday
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,Weekday
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,Weekday
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,Weekday
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,Weekday
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,Weekday
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,Weekday
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,Weekday
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,Weekday
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,Weekday
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,Weekday
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,Weekday
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0.0,5.0,5.0,Weekday
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,Weekday
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,Weekday
